rank,title,year,citations,authors,venue,doi,domains,source_api,link,score
149,A mixed-cation lead mixed-halide perovskite absorber for tandem solar cells,2016,2930,David P. McMeekin; Golnaz Sadoughi; Waqaas Rehman; Giles E. Eperon; Michael Saliba; Maximilian T. Hörantner; Amir Haghighirad; Nobuya Sakai; Lars Korte; Bernd Rech; Michael B. Johnston; Laura M. Herz,Science,10.1126/science.aad5845,integer_programming,crossref,https://doi.org/10.1126/science.aad5845,6.964
150,A slacks-based measure of efficiency in data envelopment analysis,2001,5120,Kaoru Tone,European Journal of Operational Research,10.1016/s0377-2217(99)00407-5,constraint_programming,crossref,https://doi.org/10.1016/s0377-2217(99)00407-5,6.954
151,"Blockchain technology in supply chain operations: Applications, challenges and research opportunities",2020,1348,Pankaj Dutta; Tsan-Ming Choi; Surabhi Somani; Richa Butala,Transportation Research Part E: Logistics and Transportation Review,10.1016/j.tre.2020.102067,inventory_supply_chain,crossref,https://doi.org/10.1016/j.tre.2020.102067,6.951
152,Tensor Decomposition for Signal Processing and Machine Learning,2017,1347,Nicholas D. Sidiropoulos; Lieven De Lathauwer; Xiao Fu; Kejun Huang; Evangelos E. Papalexakis; Christos Faloutsos,IEEE Transactions on Signal Processing,10.1109/tsp.2017.2690524,combinatorial_optimization|stochastic_or|nonlinear_convex|metaheuristics|multiobjective|inventory_supply_chain|queuing_simulation|column_generation_decomp,crossref,https://doi.org/10.1109/tsp.2017.2690524,6.950
153,A First-Order Primal-Dual Algorithm for Convex Problems with Applications to Imaging,2011,3405,Antonin Chambolle; Thomas Pock,Journal of Mathematical Imaging and Vision,10.1007/s10851-010-0251-1,network_flows|nonlinear_convex|graph_or|cutting_packing,crossref,https://doi.org/10.1007/s10851-010-0251-1,6.946
154,“Neural” computation of decisions in optimization problems,1985,4777,J. J. Hopfield; D. W. Tank,Biological Cybernetics,10.1007/bf00339943,combinatorial_optimization|stochastic_or|dynamic_programming|nonlinear_convex|metaheuristics|multiobjective|game_theory_or|inventory_supply_chain|queuing_simulation|ml_or_hybrid,crossref,https://doi.org/10.1007/bf00339943,6.945
155,Algorithms for the Vehicle Routing and Scheduling Problems with Time Window Constraints,1987,3376,Marius M. Solomon,Operations Research,10.1287/opre.35.2.254,tsp_routing|scheduling|or_foundations_survey,crossref,https://doi.org/10.1287/opre.35.2.254,6.940
156,Proximal Algorithms,2014,2577,Neal Parikh; Stephen Boyd,Foundations and Trends® in Optimization,10.1561/2400000003,combinatorial_optimization|nonlinear_convex|metaheuristics|multiobjective,crossref,https://doi.org/10.1561/2400000003,6.930
157,Robust principal component analysis?,2011,4941,Emmanuel J. Candès; Xiaodong Li; Yi Ma; John Wright,Journal of the ACM,10.1145/1970392.1970395,stochastic_or,crossref,https://doi.org/10.1145/1970392.1970395,6.929
158,A review and evaluation of the state-of-the-art in PV solar power forecasting: Techniques and optimization,2020,1146,R. Ahmed; V. Sreeram; Y. Mishra; M.D. Arif,Renewable and Sustainable Energy Reviews,10.1016/j.rser.2020.109792,combinatorial_optimization|nonlinear_convex|metaheuristics|multiobjective,crossref,https://doi.org/10.1016/j.rser.2020.109792,6.921
159,Tunicate Swarm Algorithm: A new bio-inspired based metaheuristic paradigm for global optimization,2020,1158,Satnam Kaur; Lalit K. Awasthi; A.L. Sangal; Gaurav Dhiman,Engineering Applications of Artificial Intelligence,10.1016/j.engappai.2020.103541,combinatorial_optimization|nonlinear_convex|metaheuristics|multiobjective|graph_or|cutting_packing,crossref,https://doi.org/10.1016/j.engappai.2020.103541,6.920
160,Decomposition of the mean squared error and NSE performance criteria: Implications for improving hydrological modelling,2009,5171,Hoshin V. Gupta; Harald Kling; Koray K. Yilmaz; Guillermo F. Martinez,Journal of Hydrology,10.1016/j.jhydrol.2009.08.003,column_generation_decomp,crossref,https://doi.org/10.1016/j.jhydrol.2009.08.003,6.914
161,Robust decomposition of cell type mixtures in spatial transcriptomics,2022,1342,Dylan M. Cable; Evan Murray; Luli S. Zou; Aleksandrina Goeva; Evan Z. Macosko; Fei Chen; Rafael A. Irizarry,Nature Biotechnology,10.1038/s41587-021-00830-w,stochastic_or|column_generation_decomp,crossref,https://doi.org/10.1038/s41587-021-00830-w,6.905
162,The SWISS-MODEL workspace: a web-based environment for protein structure homology modelling,2006,6016,Konstantin Arnold; Lorenza Bordoli; Jürgen Kopp; Torsten Schwede,Bioinformatics,10.1093/bioinformatics/bti770,inventory_supply_chain|constraint_programming,crossref,https://doi.org/10.1093/bioinformatics/bti770,6.903
163,Box-Behnken design: An alternative for the optimization of analytical methods,2007,2834,S.L.C. Ferreira; R.E. Bruns; H.S. Ferreira; G.D. Matos; J.M. David; G.C. Brandão; E.G.P. da Silva; L.A. Portugal; P.S. dos Reis; A.S. Souza; W.N.L. dos Santos,Analytica Chimica Acta,10.1016/j.aca.2007.07.011,combinatorial_optimization|stochastic_or|nonlinear_convex|metaheuristics|multiobjective|inventory_supply_chain|queuing_simulation,crossref,https://doi.org/10.1016/j.aca.2007.07.011,6.898
164,How to make a decision: The analytic hierarchy process,1990,7219,Thomas L. Saaty,European Journal of Operational Research,10.1016/0377-2217(90)90057-i,dynamic_programming,crossref,https://doi.org/10.1016/0377-2217(90)90057-i,6.887
165,Event-Triggered Real-Time Scheduling of Stabilizing Control Tasks,2007,4353,Paulo Tabuada,IEEE Transactions on Automatic Control,10.1109/tac.2007.904277,tsp_routing|scheduling|queuing_simulation,crossref,https://doi.org/10.1109/tac.2007.904277,6.883
166,Topology optimization approaches,2013,2639,Ole Sigmund; Kurt Maute,Structural and Multidisciplinary Optimization,10.1007/s00158-013-0978-6,combinatorial_optimization|nonlinear_convex|metaheuristics|multiobjective,crossref,https://doi.org/10.1007/s00158-013-0978-6,6.878
167,An analysis of approximations for maximizing submodular set functions—I,1978,3005,G. L. Nemhauser; L. A. Wolsey; M. L. Fisher,Mathematical Programming,10.1007/bf01588971,linear_programming|integer_programming|combinatorial_optimization|stochastic_or|dynamic_programming|nonlinear_convex|multiobjective|constraint_programming,crossref,https://doi.org/10.1007/bf01588971,6.878
168,"The
                    <scp>M</scp>
                    icrobial
                    <scp>E</scp>
                    fficiency‐
                    <scp>M</scp>
                    atrix
                    <scp>S</scp>
                    tabilization (
                    <scp>MEMS</scp>
                    ) framework integrates plant litter decomposition with soil organic matter stabilization: do labile plant inputs form stable soil organic matter?",2013,3222,M. Francesca Cotrufo; Matthew D. Wallenstein; Claudia M. Boot; Karolien Denef; Eldor Paul,Global Change Biology,10.1111/gcb.12113,column_generation_decomp,crossref,https://doi.org/10.1111/gcb.12113,6.874
169,Development of the Alcohol Use Disorders Identification Test (AUDIT): WHO Collaborative Project on Early Detection of Persons with Harmful Alcohol Consumption‐II,1993,10577,JOHN B SAUNDERS; OLAF G. AASLAND; THOMAS F. BABOR; JUAN R. DE LA FUENTE; MARCUS GRANT,Addiction,10.1111/j.1360-0443.1993.tb02093.x,scheduling|multiobjective,crossref,https://doi.org/10.1111/j.1360-0443.1993.tb02093.x,6.847
170,Future paths for integer programming and links to artificial intelligence,1986,3049,Fred Glover,Computers &amp; Operations Research,10.1016/0305-0548(86)90048-1,linear_programming|integer_programming|stochastic_or|dynamic_programming|nonlinear_convex|multiobjective|constraint_programming,crossref,https://doi.org/10.1016/0305-0548(86)90048-1,6.835
171,A survey on routing protocols for wireless sensor networks,2005,2351,Kemal Akkaya; Mohamed Younis,Ad Hoc Networks,10.1016/j.adhoc.2003.09.010,tsp_routing,crossref,https://doi.org/10.1016/j.adhoc.2003.09.010,6.826
172,Snake Optimizer: A novel meta-heuristic optimization algorithm,2022,1050,Fatma A. Hashim; Abdelazim G. Hussien,Knowledge-Based Systems,10.1016/j.knosys.2022.108320,combinatorial_optimization|nonlinear_convex|metaheuristics|multiobjective,crossref,https://doi.org/10.1016/j.knosys.2022.108320,6.815
173,Evolutionary programming made faster,1999,3297,Xin Yao; Yong Liu; Guangming Lin,IEEE Transactions on Evolutionary Computation,10.1109/4235.771163,linear_programming|integer_programming|stochastic_or|dynamic_programming|nonlinear_convex|multiobjective|constraint_programming|or_foundations_survey,crossref,https://doi.org/10.1109/4235.771163,6.811
174,Temperature sensitivity of soil carbon decomposition and feedbacks to climate change,2006,5510,Eric A. Davidson; Ivan A. Janssens,Nature,10.1038/nature04514,column_generation_decomp,crossref,https://doi.org/10.1038/nature04514,6.809
175,A discrete numerical model for granular assemblies,1979,15248,P. A. Cundall; O. D. L. Strack,Géotechnique,10.1680/geot.1979.29.1.47,inventory_supply_chain|queuing_simulation,crossref,https://doi.org/10.1680/geot.1979.29.1.47,6.806
176,Network information flow,2000,6322,R. Ahlswede; Ning Cai; S.-Y.R. Li; R.W. Yeung,IEEE Transactions on Information Theory,10.1109/18.850663,network_flows|game_theory_or|queuing_simulation,crossref,https://doi.org/10.1109/18.850663,6.799
177,Multiobjective evolutionary algorithms: a comparative case study and the strength Pareto approach,1999,7222,E. Zitzler; L. Thiele,IEEE Transactions on Evolutionary Computation,10.1109/4235.797969,multiobjective,crossref,https://doi.org/10.1109/4235.797969,6.799
178,Viability of intertwined supply networks: extending the supply chain resilience angles towards survivability. A position paper motivated by COVID-19 outbreak,2020,1793,Dmitry Ivanov; Alexandre Dolgui,International Journal of Production Research,10.1080/00207543.2020.1750727,inventory_supply_chain,crossref,https://doi.org/10.1080/00207543.2020.1750727,6.796
179,Atomic Decomposition by Basis Pursuit,1998,4682,Scott Shaobing Chen; David L. Donoho; Michael A. Saunders,SIAM Journal on Scientific Computing,10.1137/s1064827596304010,column_generation_decomp,crossref,https://doi.org/10.1137/s1064827596304010,6.795
180,CLUMPP: a cluster matching and permutation program for dealing with label switching and multimodality in analysis of population structure,2007,5570,Mattias Jakobsson; Noah A. Rosenberg,Bioinformatics,10.1093/bioinformatics/btm233,graph_or,crossref,https://doi.org/10.1093/bioinformatics/btm233,6.795
181,Semidefinite Programming,1996,3275,Lieven Vandenberghe; Stephen Boyd,SIAM Review,10.1137/1038003,linear_programming|integer_programming|stochastic_or|dynamic_programming|nonlinear_convex|multiobjective|constraint_programming|or_foundations_survey,crossref,https://doi.org/10.1137/1038003,6.793
182,"Laser powder-bed fusion additive manufacturing: Physics of complex melt flow and formation mechanisms of pores, spatter, and denudation zones",2016,2578,Saad A. Khairallah; Andrew T. Anderson; Alexander Rubenchik; Wayne E. King,Acta Materialia,10.1016/j.actamat.2016.02.014,network_flows,crossref,https://doi.org/10.1016/j.actamat.2016.02.014,6.790
183,Tensor-Train Decomposition,2011,2213,I. V. Oseledets,SIAM Journal on Scientific Computing,10.1137/090752286,column_generation_decomp,crossref,https://doi.org/10.1137/090752286,6.788
184,Constrained model predictive control: Stability and optimality,2000,7145,D.Q. Mayne; J.B. Rawlings; C.V. Rao; P.O.M. Scokaert,Automatica,10.1016/s0005-1098(99)00214-9,scheduling|inventory_supply_chain,crossref,https://doi.org/10.1016/s0005-1098(99)00214-9,6.785
185,Simultaneous Optimization of Several Response Variables,1980,4213,George Derringer; Ronald Suich,Journal of Quality Technology,10.1080/00224065.1980.11980968,combinatorial_optimization|stochastic_or|dynamic_programming|nonlinear_convex|metaheuristics|multiobjective|game_theory_or|inventory_supply_chain|queuing_simulation|ml_or_hybrid,crossref,https://doi.org/10.1080/00224065.1980.11980968,6.784
186,Optimization Approaches for the Traveling Salesman Problem with Drone,2018,909,Niels Agatz; Paul Bouman; Marie Schmidt,Transportation Science,10.1287/trsc.2017.0791,tsp_routing|inventory_supply_chain|constraint_programming|cutting_packing,crossref,https://doi.org/10.1287/trsc.2017.0791,6.784
187,An Interior Trust Region Approach for Nonlinear Minimization Subject to Bounds,1996,2672,Thomas F. Coleman; Yuying Li,SIAM Journal on Optimization,10.1137/0806023,combinatorial_optimization|stochastic_or|nonlinear_convex|metaheuristics|multiobjective|inventory_supply_chain,crossref,https://doi.org/10.1137/0806023,6.783
188,Adaptive Dynamic Programming for Control: A Survey and Recent Advances,2021,672,Derong Liu; Shan Xue; Bo Zhao; Biao Luo; Qinglai Wei,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",10.1109/tsmc.2020.3042876,linear_programming|integer_programming|stochastic_or|nonlinear_convex|multiobjective|constraint_programming,crossref,https://doi.org/10.1109/tsmc.2020.3042876,6.773
189,Hidden fluid mechanics: Learning velocity and pressure fields from flow visualizations,2020,1888,Maziar Raissi; Alireza Yazdani; George Em Karniadakis,Science,10.1126/science.aaw4741,network_flows,crossref,https://doi.org/10.1126/science.aaw4741,6.770
190,Beamforming Optimization for Wireless Network Aided by Intelligent Reflecting Surface With Discrete Phase Shifts,2020,1177,Qingqing Wu; Rui Zhang,IEEE Transactions on Communications,10.1109/tcomm.2019.2958916,combinatorial_optimization|nonlinear_convex|metaheuristics|multiobjective|queuing_simulation,crossref,https://doi.org/10.1109/tcomm.2019.2958916,6.764
191,Reinforcement learning for combinatorial optimization: A survey,2021,613,Nina Mazyavkina; Sergey Sviridov; Sergei Ivanov; Evgeny Burnaev,Computers &amp; Operations Research,10.1016/j.cor.2021.105400,game_theory_or|or_foundations_survey,crossref,https://doi.org/10.1016/j.cor.2021.105400,6.762
192,Archimedes optimization algorithm: a new metaheuristic algorithm for solving optimization problems,2021,1037,Fatma A. Hashim; Kashif Hussain; Essam H. Houssein; Mai S. Mabrouk; Walid Al-Atabany,Applied Intelligence,10.1007/s10489-020-01893-z,combinatorial_optimization|nonlinear_convex|metaheuristics|multiobjective,crossref,https://doi.org/10.1007/s10489-020-01893-z,6.743
193,A level set method for structural topology optimization,2003,2850,Michael Yu Wang; Xiaoming Wang; Dongming Guo,Computer Methods in Applied Mechanics and Engineering,10.1016/s0045-7825(02)00559-5,combinatorial_optimization|stochastic_or|nonlinear_convex|metaheuristics|multiobjective|inventory_supply_chain|queuing_simulation,crossref,https://doi.org/10.1016/s0045-7825(02)00559-5,6.739
194,A review on Fenton process for organic wastewater treatment based on optimization perspective,2019,1049,Meng-hui Zhang; Hui Dong; Liang Zhao; De-xi Wang; Di Meng,Science of The Total Environment,10.1016/j.scitotenv.2019.03.180,combinatorial_optimization|nonlinear_convex|metaheuristics|multiobjective,crossref,https://doi.org/10.1016/j.scitotenv.2019.03.180,6.739
195,A global optimisation method for robust affine registration of brain images,2001,6348,Mark Jenkinson; Stephen Smith,Medical Image Analysis,10.1016/s1361-8415(01)00036-6,linear_programming|stochastic_or,crossref,https://doi.org/10.1016/s1361-8415(01)00036-6,6.736
196,Chimp optimization algorithm,2020,1138,M. Khishe; M.R. Mosavi,Expert Systems with Applications,10.1016/j.eswa.2020.113338,combinatorial_optimization|nonlinear_convex|metaheuristics|multiobjective|cutting_packing,crossref,https://doi.org/10.1016/j.eswa.2020.113338,6.735
197,HiC-Pro: an optimized and flexible pipeline for Hi-C data processing,2015,2413,Nicolas Servant; Nelle Varoquaux; Bryan R. Lajoie; Eric Viara; Chong-Jian Chen; Jean-Philippe Vert; Edith Heard; Job Dekker; Emmanuel Barillot,Genome Biology,10.1186/s13059-015-0831-x,scheduling,crossref,https://doi.org/10.1186/s13059-015-0831-x,6.655
198,The flying sidekick traveling salesman problem: Optimization of drone-assisted parcel delivery,2015,1554,Chase C. Murray; Amanda G. Chu,Transportation Research Part C: Emerging Technologies,10.1016/j.trc.2015.03.005,tsp_routing,crossref,https://doi.org/10.1016/j.trc.2015.03.005,6.604
199,Information Flow and Cooperative Control of Vehicle Formations,2004,3884,J.A. Fax; R.M. Murray,IEEE Transactions on Automatic Control,10.1109/tac.2004.834433,network_flows|tsp_routing|or_foundations_survey,crossref,https://doi.org/10.1109/tac.2004.834433,6.599
200,Thermodynamical approach to the traveling salesman problem: An efficient simulation algorithm,1985,2489,V. Černý,Journal of Optimization Theory and Applications,10.1007/bf00940812,combinatorial_optimization|tsp_routing|nonlinear_convex|metaheuristics|multiobjective|inventory_supply_chain|queuing_simulation|constraint_programming|graph_or|cutting_packing,crossref,https://doi.org/10.1007/bf00940812,6.585
